Frase;Sentimento;Classificacao
aproximar rapidamente;positiva;1
halving halving alta sobe;positiva;1
positivo;positiva;1
positivamente;positiva;1
superará máxima histórica;positiva;1
máxima alta;positiva;1
ganhando impulso;positiva;1
ultrapassou o valor ;positiva;1
superar ;positiva;1
sobe;positiva;1
reverteu subiu;positiva;1
positivo;positiva;1
positivamente;positiva;1
máxima;positiva;1
ganhando alta impulso;positiva;1
ultrapassou o valor alta;positiva;1
recorde de;positiva;1
recuperação do valor;positiva;1
subiu;positiva;1
semana especial;positiva;1
aumento reconhecimento reserva;positiva;1
catalisador;positiva;1
ótimo desempenho alta;positiva;1
cruz de ouro;positiva;1
otimismo;positiva;1
probabilidade máximas históricas;positiva;1
retorno investimento ;positiva;1
longo prazo;positiva;1
valorização recorde ;positiva;1
evolução;positiva;1
retoma força aumentando lucros;positiva;1
otimistas aumentará mais nível;positiva;1
Imprimir dinheiro bom alta;positiva;1
Dinheiro empurrar ;positiva;1
superar  resistência ;positiva;1
sobe;positiva;1
halving;positiva;1
reverteu;positiva;1
positivo;positiva;1
correção e caiu;negativa;0
corrigir mais forte;negativa;0
Simétrico Bearish correção;negativa;0
perda LTA ;negativa;0
perca esse suporte;negativa;0
suportes;negativa;0
risco volatilidade;negativa;0
arriscado;negativa;0
pessimista cair abaixo ;negativa;0
caiu;negativa;0
perca;negativa;0
pior;negativa;0
liquidados;negativa;0
derretendo;negativa;0
pessimista cair abaixo ;negativa;0
caiu;negativa;0
perca;negativa;0
pior;negativa;0
liquidados;negativa;0
derretendo;negativa;0
despencar;negativa;0
despencou ;negativa;0
flash crash venda ;negativa;0
venda queda;negativa;0
baixa;negativa;0
queda menor;negativa;0
acumula desvalorização ;negativa;0
baixa queda liquidados;negativa;0
correção realizando;negativa;0
derrubando;negativa;0
despencousuporte ;negativa;0
suportes;negativa;0
risco volatilidade;negativa;0
acumula desvalorização ;negativa;0
baixa queda liquidados;negativa;0
correção realizando;negativa;0
derrubando;negativa;0
despencousuporte ;negativa;0
suportes;negativa;0
risco volatilidade;negativa;0
arriscado;negativa;0
pessimista cair abaixo ;negativa;0
caiu;negativa;0
perca;negativa;0
pior;negativa;0
liquidados;negativa;0
derretendo;negativa;0
queda;negativa;0
forte queda;negativa;0
queda;negativa;0
queda repentina;negativa;0
manutenção;negativa;0
queda;negativa;0
paralisa;negativa;0
negociação tokens cotas;neutra;2
mineração criptomoeda equipamentos ;neutra;2
tecnologia criptomoeda ;neutra;2
criptomoedas tecnologia plataforma;neutra;2
pagamentos pagamento aplicativo;neutra;2
projeto criptomoeda  ecossistema ;neutra;2
serviços tecnologia  blockchain ;neutra;2
blockchain tecnologia implementar;neutra;2
modernizar negócios implementar;neutra;2
ajudar combate ao coronavírus;neutra;2
moedas exchange bitcoin;neutra;2
blockchain tecnologia implementar;neutra;2
pagamentos pagamento aplicativo;neutra;2
projeto criptomoeda  ecossistema ;neutra;2
serviços tecnologia  blockchain ;neutra;2
soluções  solução  criptomoeda;neutra;2
blockchain tecnologia implementar;neutra;2
modernizar negócios implementar;neutra;2
mineradores mineram;neutra;2
arrecadar ajudar doar;neutra;2
mineração criptomoeda equipamentos;neutra;2
tecnologia criptomoeda ;neutra;2
criptomoedas tecnologia plataforma ;neutra;2
pagamentos pagamento aplicativo;neutra;2
projeto criptomoeda  ecossistema ;neutra;2
serviços tecnologia  blockchain ;neutra;2
soluções  solução  criptomoeda;neutra;2
tecnologia criptomoeda ;neutra;2
criptomoedas tecnologia plataforma  ;neutra;2
pagamentos pagamento aplicativo;neutra;2
projeto criptomoeda  ecossistema ;neutra;2
serviços tecnologia  blockchain ;neutra;2
soluções  solução  criptomoeda;neutra;2
blockchain tecnologia implementar;neutra;2
modernizar negócios implementar;neutra;2
modernizar negócios implementar;neutra;2
arrecadar ajudar doar;neutra;2
mineração criptomoeda equipamentos ;neutra;2
tecnologia criptomoeda ;neutra;2
criptomoedas tecnologia plataforma ;neutra;2
mineradores mineram;neutra;2
mineração criptomoeda equipamentos;neutra;2
ajudar combate coronavírus;neutra;2
moedas exchange;neutra;2
arrecadar ajudar doar;neutra;2
coronavírus combate;neutra;2
Mercado coronavírus combate;neutra;2
coronavírus combate;neutra;2
